Ventilador De Mesa Arno Vf Preto E Pás De Cor Prata, 50cm De Diâmetro 127v
boa tarde se compra agora envia hj,"Boa tarde. Enviamos em até 48 horas uteis após a confirmação do pagamento. Aguardamos seu pedido."
valor do frete para CEP 79 740 000,"Favor verificar o frete no próprio anúncio, você terá que inserir o seu CEP no campo solicitado e terá automaticamente o seu frete calculado. Aguardamos o seu pedido."
Tem esse tipo de piscina maior com mais litros,"Temos diversos modelos de piscinas em nossa loja, basta conferir e escolher o que melhor atende a sua necessidade."
eu compei uma piscina foi por enderco da mia mae mas eu mundei o imdereco já venhi por meu ne,"Qualquer assunto referente a seu pedido é tratado pelo chat. Obrigado!"
Boa tarde gostaria de comprar no atacado pra revenda poderia me da alguma informação a respeito?,"O que quer saber exatamente?"
Informações do produto anuciador de presenca da vexus no atacado,"Aguardamos seu pedido."
----
Samsung Galaxy J2 Core Dual Sim 16 Gb Preto 1 Gb Ram
Question,Answer
Tem da cor Branca?,"Olá EFNEFN, tudo bem? Infelizmente não temos mais este item constando em estoque, tanto do Preto tanto o Branco. Desculpe-nos o transtorno."
Na descrição dizia q entregava semana q vem  fui ver agora mudou só entrega dia 28/04,"Olá LOZZER, tudo bem? Desculpe-nos pela demora na resposta. Devido ao atual momento, nossa previsão de entrega está com um prazo maior do que o normal podendo variar de acordo com a sua região. Estamos à disposição"
Boa tarde olist gostaria de saber se o j2 vem com todos os itens carregador  fone?,"sim completo"
E desbloqueado para todas as operadoras,"Olá JOSEFAZELIADOSSANTOS, tudo bem? Sim ele é desbloqueado."
o celular é original  ?,"Olá, boa tarde! Sim, é original. Dúvidas estamos a disposição!"
Boa tarde olist gostaria de saber se o j2 vem com todos os itens carregador  fone?,"Sim completo produto nacional"
Boa tarde! o Produto é novo e vem com nota fiscal?,"Olá COPERATIVADEENSINODESOJO, tudo bem? Sim o produto é original, vem lacrado e acompanha nota fiscal. Aguardamos seu pedido."
Olá o celular é novo e original ?,"Olá BRNA7178492, tudo bem? Sim o aparelho é original, vem lacrado e acompanha nota fiscal. Aguardamos seu pedido."
Sim. Já chegou,"NERILDABARBOSANERILDABARBOSA, Seguimos a disposição."
qual cidade?,"Olá MEDA1896616, tudo bem? Infelizmente não temos mais o produto disponível em estoque. Seguimos a disposição."
E novo ou usado,"Olá SIRLEIADEJESUSDASILVA, tudo bem? Produto é novo, vem lacrado e acompanha nota fiscal."
há no estoque e e original?,"Olá MARIALUZIRENEDECASTROSANTOS, tudo bem? Sim o produto é original e nós temos pronta entrega."
bom dia! Amigo trabalho com entregas meu nome Edson vc ja conhece a nova modelidade do Mercado livre mercado-Envio-Flex,"Olá EDSORD, tudo bem? Nos não conhecemos esse modelo de envio. Como podemos ajudá-lo?"
e novo ou usado.,"Olá HENRIQUECS1128, tudo bem? Desculpe-nos pela demora. O produto é novo, original, vem lacrado e acompanha a nota fiscal. Aguardamos o seu pedido."
Me confirme se tem a garantia de 1 ano pelo fabricante...não tem informando nesta pagina de vendas.,"Olá DOED2518329, tudo bem? Sim tem garantia de um ano pelo fabricante, no caso Samsung."
Oi boa tarde quanto tempo de garantia?,"Olá CAROLINAMARTINSDEPAULA, tudo bem? Infelizmente não temos mais este produto disponível em estoque. Desculpe-nos o transtorno."
um aparelho vem com a nota fiscal e cumpom fiscal e um manual do aparelho,"Olá SACL2250957, tudo bem? Infelizmente não temos mais este produto disponível em estoque. Desculpe-nos o transtorno."
Boa tarde! Este aparelho é novo? Vem na caixa original com todos os acessórios?,"Olá ESCRITOR_BH, tudo bem? Infelizmente não temos mais este produto disponível em estoque. Desculpe-nos o transtorno."
e desbloqueado e paga quantos chips,"Olá JOSEFAZELIADOSSANTOS, tudo bem? Infelizmente não temos mais este produto disponível em estoque. Desculpe-nos o transtorno. Seguimos a disposição."
tem em estoque?,"Olá SILVAFERREIRAMARCIEL, tudo bem? Sim nós temos o produto disponível em estoque. Aguardamos seu pedido."
Boa noite paguei o boleto hoje como faço pra rastrear meu pedido?,"Olá NERILDABARBOSANERILDABARBOSA, tudo bem? O produto do senhor já chegou? Se não por favor nos envie seu nº de Pedido. Seguimos a disposição."
é original com selo da Anatel?,"Olá SILVAFERREIRAMARCIEL, tudo bem? Sim é original, vem lacrado com selo da Anatel e acompanha nota fiscal. Aguardamos seu pedido."
Boa noite tem ponta entrega ou não fz favor,"Olá MATILDERIBEIRODACOSTARIBEIR, tudo bem? Sim nós temos pronta entrega, aguardamos seu pedido."
vc tem em estoque?,"Olá ROPA3564578, tudo bem? Sim nós temos o produto disponível em estoque, aguardamos seu pedido."
boa noite produto novo vem lacrado!!!!,"Bom dia, produto novo lacrado, com nota fiscal e garantia de 1 ano pelo fabricante, aguardamos seu pedido."
Boa tarde  fatura nota fiscal para CNPJ?,"Olá NFELEOSOBMEDIDA, tudo bem? Sim nós faturamos nota fiscal para CNPJ. Aguardamos seu pedido."
ainda está com este valor de 469,"Olá SINI8180861, tudo bem? Sim nós estamos com esse valor e temos o item disponível em estoque. Aguardamos seu pedido."
tem nota fiscal e garantia?,"Olá RANAYABELEZINHA2007, tudo bem? Sim, vem lacrado e acompanha nota fiscal. Garantia de um ano pelo fabricante. Aguardamos seu pedido."
como eu sei que o cel ta novo,"Olá FESI5234363, tudo bem? Ele vem lacrado e acompanha nota fiscal. Seguimos a disposição."
Tem garantia e nota fiscal?,"Olá RANAYABELEZINHA2007, tudo bem? O produto novo, original, vem lacrado e acompanha nota fiscal. Aguardamos seu pedido."
Garantia d qto tempo?,"Olá MEZOSSAURUS, tudo bem? Garantia de um ano pelo fabricante."
comprei um par 64 triled 3w ....e  não foi isso que chegou aqui .,"Olá CLAUDIODALLAFINA, tudo bem? Poderia nos enviar o seu número de pedido?"
por favor  não engane as pessoas .,"Olá CLAUDIODALLAFINA, tudo bem? Poderia nos enviar o seu número de pedido?"
eu estou muito aborrecido por isso,"Olá CLAUDIODALLAFINA, tudo bem? Poderia nos enviar o seu número de pedido?"
Certo Obrigada já comprei foi 2 aparelhos e já ta pago.,"Olá JOSEFAZELIADOSSANTOS, tudo bem? Seguimos a disposição."
E Desbloqueado,"Olá JOSEFAZELIADOSSANTOS, tudo bem? Sim o produto é desbloqueado."
eu paguei por um produto de 135 00 e me mandaram um de 85 00 .....ja denunciei e quero meu dinheiro de volta    pq eu nã,"Olá CLAUDIODALLAFINA, tudo bem? Poderia nos mandar o nº do seu pedido? Seguimos a disposição."
não adiantou pausar o anúcio por que  vcs tem mais produtos em venda,"Olá CLAUDIODALLAFINA, tudo bem? Sim nos temos o produto disponível em estoque. Aguardamos seu pedido."
espero que me respondem ....pq  ja estou  fazendo um vídeo sobre esse tipode fraude.,"Olá, CLAUDIODALLAFINA como podemos te ajudar ?"
qual cidade?,"Olá, MEDA1896616 nossos produtos saem para as entregas de nosso depósito que fica em ES."
050632,"Aguardamos seu pedido."
sr. Olist Loja oficial ..... meu produto chegou   mas chegou totalmente errado....   eu comprei um produto e veio outro,"Olá CLAUDIODALLAFINA, tudo bem? Poderia nos enviar o nº do seu pedido? Seguimos a disposição."
Porque a minha pergunta foi excluída? Afinal eu comprei um produto e não recebi até agora e não me dão safisfação?,"Olá JOSINELSON_CAR, tudo bem? Em que posso ajuda-lo? Seguimos a disposição."
Olá boa tarde. preciso de 13 unidades. Consegue fazer um desconto?,"Olá ROGPIRES2013, tudo bem? Não trabalhamos com desconto, esse já é preço final do produto. Seguimos a disposição."
Boa Tarde  não recebi meu pedido comprado dia 2277744238 - 9 de janeiro  como esta o processo de entrega?,"Olá YNOVATRANSPORTES, tudo bem? Poderia nos informar por gentileza seu CPF?"
oi boa noite quanto fica i fret pra comtagem,"Olá BAAR3878418, tudo bem? Desculpe-nos a demora na resposta. Poderia nos informar seu CEP?"
Posso pegar com o (CPF) do (RG)??,"Olá FERA9790559 Segue código de rastreio: OI245071002BR"
Como que eu faço pra pegar o pedido sem o código de rastreamento??,"Olá FERA9790559 Segue código de rastreio: OI245071002BR"
----
Caixa De Som Gradiente Gsp-100 Portátil Sem Fio Preto
Question,Answer
Consegue informar a capacidade da bateria? Gratidão,"Bom dia,12 horas de musica dependendo do volume"
Boa  noite ela é  original,"Bom dia, sim"
É original,"Bom dia,sim"
Bom dia  Gostaria de saber se está caixa de som pode ser usada para potencializar o som da minha TV de LED da AOC que é uma porcaria. Se sim  qual tipo de cabo é usado e se tem que mantê-la ligada na fonte para a bateria não acabar de repente. Obrigada! Claudia Santos Bairro: Ipiranga  São Paulo/SP,"Bom dia,se sua TV estiver conexão via bluetooth serve sim,essa caixa não usa cabo só via bluetooth"
o frete é grátis? gostaria de comprar mas com frete expresso  pois moro em Natal eis correios estão com um atraso muito grande. obrigado.,"Bom dia,Na sua conta no mercado livre lado direito click em Contato e depois pesquisa: Como o meu benefício de frete grátis funciona La já tem toda a informação que você precisa saber se frete grátis."
Qual o tamanho?,"olá, bom dia! PESO. 0,555kg. ALT. 8,5 cm. LARG. 21,0 cm. PROF. 8,0 cm."
Boa tarde ! Quais as medidas dessa caixa ?,"olá, bom dia! PESO,0,555kg, ALT.8,5 cm. LARG. 21,0 cm. PROF. 8,0 cm."
Esses vendedor não entrega produto que vende e o mercadolivre acoberta  tive que acionar fórum.especial boicotem esses malditos argentinos,"Bom dia, a entrega no nosso produtos e feita pelos correios e funciona assim temos um prazo de 2 a 5 dia ulites para o envio e dependendo da sua região e de 10 a 15 dia para entrega"
Boa Noite! Tem à pronta entrega? O produto está sendo enviado normalmente? Muito obrigado pela sua atenção!,"olá bom dia! Caixa de som Gradiente GSP-100 portátil sem fio Preto Novo | 24 vendidos Caixa de som Gradiente GSP-100 portátil sem fio Preto (47) Adicionar aos favoritos R$219 Enviando normalmente Número de alto-falantes: 1. Potência de 20W. Frequência mínima de 50Hz e máxima de 20kHz. Conectividade: Bluetooth. Opções de compra: 3 produtos novos a partir de R$219"
Qual a duração da bateria? Vem com manual? Cabo pra carregar com carregador?,"olá, bom dia! media de 2 horas dependendo do volume pode durar mais. acompanha cabo para carregamento e manual."
ainda tem disponível a caixinha ?,"olá, bom dia! sim, temos em estoque."
Boa tarde  essa caixa é original?,"Boa tarde sim original"
Boa noite  gostaria de saber se a caixinha é original ou réplica?,"Bom dia,original"
Boa Noite  O produto é original?,"Bom dia, sim"
Boa noite  produto original? Desculpa a pergunta mas a diferença de preço com outras lojas é grande. Aguardo,"Bom dia,original sim"
O produto é original? Desculpa se a pergunta parecer estranha  mas a diferença de valor em outros sites é muito grande.,"Bom dia, sim esse produto e original da gradiente"
boa noite  essa caixa quando estiver carregando ele pode escutar música ?,"olá, bom dia! sim, mais o ideal quer esteja desligada,para conserva vida útil do produto."
Acompanha tomada para carregar?,"olá, bom dia! acompanha cabo USB."
Boa noite conecta em qualquer celular por bluetooth?,"olá, bom dia! sim."
qual o motivo se comprar agora so vai chegar depois do dia 12 de maio?,"Bom dia,cada CEP tem o tempo de chegada"
bom dia essa caixa quando estiver carregando a bateria  ela fica tocando o som ?,"olá, bom dia! sim, mais o ideal é manter desligada em quanto carrega para preserva a vida útil do produto."
bom dia!! gostaria de saber se vem pelos correios?,"olá, bom dia! sim, entregamos pelos os correios."
Da para conectar com a TV,"Bom dia,Se a sua tv estiver conexão via Bluetooth sim"
essa caixinha tem entrada auxiliar?,"Bom dia,somente via Bluetooth"
O som é alto ?,"Bom dia,Sim"
Ela tem entrada auxiliar ?,"Bom dia,somente via bluetooth"
tem entrada usb??,"Bom dia,somente via bluetooth"
Tempo de duração da carga da bsteria,"Bom dia,dependendo do volume umas 2h e 30 minuto"
Boa noite ! Tem entrada P2 preciso ligar em Chromecast,"Bom dia,somente via bluetooth"
Tem opção de ligar/desligar o bluetooth ?,"Bom dia,sim"
Tem entrada pra PENDRIVE ?,"Bom dia,não somente via bluetooth"
Aceita cartão de memória? Pen drive?,"olá, bom dia! conectividade apenas por bluetooth."
boa tarde qual a autonomia da bateria,"Bom dia,na media de 2 horas dependendo do volume pode durar mais."
Pega pendrive ou cartão de memória?,"Boa tarde,somente via Bluetooth"
E a prova d'água,"Boa tarde, ate 1 metro de profundidade ate 30 minuto"
Essa caixa de som é bivolt?,"olá, boa tarde! sim bivolt."
Esse produto sintoniza rádio também?,"OLÁ, BOM DIA! não."
tem entrada pra violao ?,"olá, bom dia! não."
Quanto tempo  de bateria,"Bom dia,mais ou menos 2 horas dependendo a quantidade do volume"
Quanto tempo de bateria e vai cartao de nemoria,"Bom dia,a bateria ele tura mais ou menos 2 horas não tem cartão de memoria"
Tem a pronta entrega e frete grátis para o CEP 95670-000,"Bom dia,a entrega e feita pelo correios para ver se tem frete grátis você menso pode consultar com o seu CEP na plataforma"
É a prova D'água?,"olá, bom dia! sim."
----
Bebedouro De Água Agratto Bem-03 20l Branco 110v/220v 
Question,Answer
Amigo esse é de placa ou de motor?,"Bom dia, Possui sistema eletrônico de resfriamento através de placas, tornando o seu bebedouro muito mais silencioso e sem vibrações, pois não utiliza compressor e não emite gases prejudiciais ao meio ambiente. Att, Equipe."
Este produto vai galão de água?,"Bom dia, O produto anunciado é apenas o bebedouro, sem o galão. Att, Equipe."
Não presta pude jogar tudo fora  pifou joga fora  além do mas nela muito pouco   dou Mec de refrigeração HS pouco tempo ainda não tem 40 anos,"Bom dia, Peço por gentileza que envie a sua dúvida novamente, assim que possível iremos lhe responder. Dúvidas e demais informações referentes a pedidos de compra realizados devem ser feitos exclusivamente pelo chat, dentro do próprio pedido. Att, Equipe."
Pra 20 litros não serve?,"Bom dia, Utilize garrafão de 10L ou 20L. Att, Equipe."
Bom dia qual a quantidade de água gelada ele guarda no seu reservatório?,"Bom dia, Infelizmente não tem essa informação no site do fabricante. Comporta galão de 5 ou 10 litros; - Bivolt. Att, Equipe."
Este produto vai galão,"Olá amigo, O galão não esta incluso na venda !"
eu comprei dia 16 de abril  e ainda não enviaram  quando vão enviar?,"Bom dia, Dúvidas e demais informações referentes a pedidos de compra realizados devem ser feitos exclusivamente pelo chat, dentro do próprio pedido. Fazemos o possível para responder com prontidão. Att, Equipe."
É com compressor,"Bom dia, Possui sistema eletrônico de resfriamento através de placas, tornando o seu bebedouro muito mais silencioso e sem vibrações, pois não utiliza compressor e não emite gases prejudiciais ao meio ambiente. Att, Equipe."
esse bebedouro e eletrônico ou de compressor ?,"Bom dia, Possui sistema eletrônico de resfriamento através de placas, tornando o seu bebedouro muito mais silencioso e sem vibrações, pois não utiliza compressor e não emite gases prejudiciais ao meio ambiente. Att, Equipe"
Boa noite e um bebedouro ou purificador???,"Bom dia, O produto é um bebedouro. Att, Equipe."
qual e o material do bebedouro,"Bom dia, Material/Composição: Plástico reforçado. Att, Equipe."
Boa tarde  o bebedouro vem com as duas voltagens? Ou devo escolher uma ?,"O bebedouro é BIVOLT. Serve tanto para 110v quanto para 220v."
qual o consumo de energia dele?,"Esta informação esta na descrição do anuncio"
Amigo bom dia esse Bebedouro Também filtra Água ??,"Boa tarde amigo. Não filtra apenas gela, a água limpa vem dos galões que são comprados. Aguardamos seu pedido."
bom dia voce tem esse bebedouro,"Boa tarde, Infelizmente não temos esse produto no estoque para pronta entrega. Att, Equipe."
por favor qual é a marca,"Boa tarde, Agratto. Att, Equipe."
Têm outra opção?não quero com o galão.,"Bom dia, Peço que verifique no site os nossos produtos disponíveis. Aguardamos o seu pedido. Att, Equipe."
É possível colocar o galão de 20 litros de agua neste bebedouro?,"Boa tarde, Sim. Att, Equipe."
Bom dia gostaria de saber se precisa usar o galão?,"Bom dia, Sim, necessário o uso do galão. Att, Equipe."
Muito obrigada,"Att, Equipe."
Boa tarde  ele tem capacidade de resfriar quantos litros por vez? e leva quanto tempo pra resfriar novamente?,"Bom dia, Infelizmente não tem essa informação no site do fabricante. Att, Equipe."
Tem que colocar o galão de água? Ou só colocar na torneira,"Bom dia, É necessário o galão. Att, Equipe."
Funciona só com o galão?,"Bom dia, Sim é necessário o galão. Att, Equipe."
Queria um sem precisar usar galão,"Bom dia, Peço que verifique no site os nossos produtos disponíveis. Aguardamos o seu pedido. Att, Equipe."
vcs emitem NF?,"Bom dia, Nossos os produtos anunciados são novos e seguem com Nota Fiscal. Tudo para lhe garantir total segurança e satisfação com os mesmos. Aguardamos o seu pedido. Att, Equipe."
e preciso garrafão de 20 litro ou pode liga direto na toneira,"Bom dia, É necessário o garrafão. Att, Equipe."
Opa blz esse Bebedouro valor R$210 Branco ele não é com filtro em cima né a água entra direto nele,"Bom dia, Exatamente. Att, Equipe."
esse bebedouro é para Galao de 20 lt ?,"Sim"
Boa tarde. Ele funciona na voltagem 110 V?,"Sim !"
PORQUE O ENVIO DA MINHA COMPRA ESTA PENDENTE.....O PAGAMENTO JÁ FOI FEITO E VOCÊS NÃO ME RESPONDEM MAIS......????,"Bom dia, Dúvidas e demais informações referentes a pedidos de compra realizados devem ser feitos exclusivamente pelo chat, dentro do próprio pedido. Att, Equipe."
Sim,"entao esse bebedouro não existe com filtro, pois a agua que coloca nele nesses galoes, sao aguas mineral, não precisa filtro. Este anuncio não acompanha o galao de agua, essa agua voce compra em qualque mercado e padarias. Aguardamos sua compra e ficamos a disposição."
boa noite quanto tempo tem a validade do refil pra faser a troca.,"voce diz filtro de agua?"
Vc acha que chega quando aqui com essa covid 19 ? Pois precisando com urgência..,"Voce o proprio site da o prazo, mais esse prazo depende dos correios ou transportadora tambem, não tem como prever exatamente. Mais olha direitinho o prazo de entrega aqui no site."
Tem bivolt ?,"Pode comprar que é bivolt. Aguardamos sua compra."
Ele é bivolt?,"Ola, sim bivolt, só ligar na tomada 110v ou 220v. Aguardamos sua compra."
Tem pronta entrega?220v?,"Ola temos a pronta entrega, este produto vale pra 110v e 220v, ou seja, é bivolt só ligar na tomada. Aguardamos sua compra."
Boa noite esse é de colocar garrafão? Gela bem,"Ola isso mesmo colocar galão de agua, gela bem sim, otimo produto. Aguardamos sua compra e ficamos a disposição."
preciso de voltagem 220 não aparece a opção para pedir nessa voltagem,"Ola esse produto é bivolt, pode comprar que serve para 110v ou 220v só ligar na tomada."
Olá este bebedouro deixa a água gelada amigo ?,"Sim !"
----
Fone De Ouvido Fortrek Hsl-102 Preto
Question,Answer
É msm ?  Então a empresa que é de péssima qualidade tbm por manter esse tipo de vendedor.  Pois oq eu mais fiz foi cobrar .,"Lamento pelo ocorrido, permaneço a disposição para ajudar no que for preciso. Att Thales - Intecshop"
Que péssimo atendimento  comprei o produto e já tem 3 dia e não me enviaram e não me respondem.  Não comprei   vai passar raiva.,"Bom dia, Todos os nossos produtos são enviados em até 24hrs. A Olist possui varios vendedores, entao pode ser que nao tenha comprado conosco. Sugiro que mande uma mensagem direto para o vendedor, na pagina de compra. Att Thales- Intecshop"
----
Cafeteira Hamilton Beach 43700 Branca/vermelha 110v
Question,Answer
Boa tarde qual é a marca dessa cafeteira,"Olá, A marca é Hamilton Beach."
porque semi-automatica? ela desliga sozinha?,"Olá, Esse modelo prepara o café automaticamente quando ligado, mas não possui a função desligamento automático."
E como fasso para pode fazer entrega de sua loja,"Olá, Já possuímos o parceiro que realiza nossos envios, contudo pode encaminhar uma apresentação através do site http://www.hamiltonbeachservice.com.br/ ."
Olá sou mercado livre flex basta vc cadastra sua loja mercado livre flex para eu poder ser um parceiro seu e pode fazer suas entregas mesmo dia asim você podendo anpliar seus negócios,"Olá, Agradecemos pelo interesse em nossa marca."
bom dia conserva o cafe quente por quanto tempo?,"Olá, Esse modelo mantem o café aquecido enquanto estiver ligada na tomada."
da para quantas xícaras de café? somente 5 como mostra a foto?,"Olá, Prepara até 5 xícaras grande ou 14 xícaras pequena."
POR BFAVOR BOA NOITE ESSA CAFETEIRA TEM FILTRO??????,"Olá, Esse modelo possui um filtro permanente, não é necessário utilizar filtros de papel."
vem explicando como usar,"<p style="display: inline-block;font-family:Helvetica,Arial,'sans-serif';font-size:13px;line-height:17px;background: url('http://static.mlstatic.com/org-img/ch/ui/0.10.7/assets/icons.png') no-repeat;border-radius: 3px;border-style: solid;border-width: 1px;margin: 0 0 5px;padding: 8px 10px 8px 34px;text-shadow: 0 1px 0 rgba(255, 255, 255, 0.5);background-color: #FCF8CB;background-position: -225px -101px;border-color: #E4E2B8;">Tivemos que excluir esta resposta porque não está de acordo com as nossas <a href="https://www.mercadolivre.com.br/ajuda/politicas-para-cadastramento-de-produtos_1002">Políticas para Cadastramento de Anúncios</a>.</p>"
boa noite! tem pronta entrega?,"Olá, Sim, possuímos unidades para pronta entrega."
DESEJO COMPRAR MAS QUERO MAIS DOIS COADORES PARA O MESMO  VOCÊS FORNECEM?,"Olá, A venda de acessórios ocorre através do site http://www.loja.hamiltonbeachservice.com.br/ , infelizmente não há como enviar o produto com um acessório há mais devido a venda e expedição ocorrer em locais separados."
Qual frete para o cep 65040-070?,"Olá, Há a opção de envio com frete grátis. É possível calcular o frete no próprio anúncio do produto abaixo das formas de pagamento."
mantém o café quente???,"Olá, Mantem o café aquecido enquanto estiver ligado na tomada."
Vc tb teria secador pra cabelo e churrasqueira eletrica queroa comprar os 3 juntos,"Olá, Nossa marca trabalha apenas com a linha de eletroportáteis, segue link para conferencia dos produtos http://www.hamiltonbeach.com.br/ . Não possuímos secadores ou churrasqueiras."
Vc tb teria secador pra cabelo e churrasqueira eletrica queria  comprar os 3 juntos,"<p style="display: inline-block;font-family:Helvetica,Arial,'sans-serif';font-size:13px;line-height:17px;background: url('http://static.mlstatic.com/org-img/ch/ui/0.10.7/assets/icons.png') no-repeat;border-radius: 3px;border-style: solid;border-width: 1px;margin: 0 0 5px;padding: 8px 10px 8px 34px;text-shadow: 0 1px 0 rgba(255, 255, 255, 0.5);background-color: #FCF8CB;background-position: -225px -101px;border-color: #E4E2B8;">Tivemos que excluir esta resposta porque não está de acordo com as nossas <a href="https://www.mercadolivre.com.br/ajuda/politicas-para-cadastramento-de-produtos_1002">Políticas para Cadastramento de Anúncios</a>.</p>"
